movie_key,source_relpath,action,category,destination_relpath,status,reason
tt31193180_Sinners,tt31193180_Sinners/Sinners (2025) 4K HDR10+流媒体版 杜比全景声DDP5.1 简英特效字幕 .mkv,RENAME,PRIMARY_VIDEO,tt31193180_Sinners/tt31193180_Sinners.mkv,PLANNED,canonical primary filename
tt31193180_Sinners,tt31193180_Sinners/Sinners20251080pHEVCEnglishWEBRip51x265-HDHub4uMs[_26261]-en.srt,RENAME,ENGLISH_SUBTITLE,tt31193180_Sinners/tt31193180_Sinners.en.srt,PLANNED,canonical English subtitle filename
tt3224458_ABeautifulDayInTheNeighborhood,tt3224458_ABeautifulDayInTheNeighborhood/邻里一MH的一天.mp4,RENAME,PRIMARY_VIDEO,tt3224458_ABeautifulDayInTheNeighborhood/tt3224458_ABeautifulDayInTheNeighborhood.mp4,PLANNED,canonical primary filename
tt32536315_BlueMoon,tt32536315_BlueMoon/Blue.Moon.2025.2160p.WEB-DL.SDR.H.265..DDP5.1.Atmos-HamiltonShare.mkv,RENAME,PRIMARY_VIDEO,tt32536315_BlueMoon/tt32536315_BlueMoon.mkv,PLANNED,canonical primary filename
tt3281548_LittleWomen,tt3281548_LittleWomen/小妇人 (2019) - 1080p 中英字幕.mkv,RENAME,PRIMARY_VIDEO,tt3281548_LittleWomen/tt3281548_LittleWomen.mkv,PLANNED,canonical primary filename
tt32916440_MartySupreme,tt32916440_MartySupreme/Marty Supreme 2025 USA A24 BluRay 1080p TrueHD7.1 x265 10bit-CHD (1).mp4,RENAME,PRIMARY_VIDEO,tt32916440_MartySupreme/tt32916440_MartySupreme.mp4,PLANNED,canonical primary filename
tt3581652_WestSideStory,tt3581652_WestSideStory/West.Side.Story.2021.2160p.WEB-DL.x265.8bit.SDR.DTS-HD.MA.7.1-NOGRP.mkv,RENAME,PRIMARY_VIDEO,tt3581652_WestSideStory/tt3581652_WestSideStory.mkv,PLANNED,canonical primary filename
tt3704428_Elvis,tt3704428_Elvis/Elvis.2022.2160p.WEB-DL.DDP5.1.Atmos.HDR.HEVC-BBQDDQ.mkv,RENAME,PRIMARY_VIDEO,tt3704428_Elvis/tt3704428_Elvis.mkv,PLANNED,canonical primary filename
tt4595882_CanYouEverForgiveMe,tt4595882_CanYouEverForgiveMe/n能y谅w吗？.2018.BD1080p.中英双字.mp4,RENAME,PRIMARY_VIDEO,tt4595882_CanYouEverForgiveMe/tt4595882_CanYouEverForgiveMe.mp4,PLANNED,canonical primary filename
tt4648786_Harriet,tt4648786_Harriet/Harriet.2019.2160p.UHD.BluRay.REMUX.HEVC.HDR.TrueHD7.1-DreamHD.mkv,RENAME,PRIMARY_VIDEO,tt4648786_Harriet/tt4648786_Harriet.mkv,PLANNED,canonical primary filename
tt4995540_BeingTheRicardos,tt4995540_BeingTheRicardos/Being.the.Ricardos.2021.1080p v2.mp4,RENAME,PRIMARY_VIDEO,tt4995540_BeingTheRicardos/tt4995540_BeingTheRicardos.mp4,PLANNED,canonical primary filename
tt5083738_TheFavourite,tt5083738_TheFavourite/宠儿.TheFavourite.BDrip1080P.中英双语.mp4,RENAME,PRIMARY_VIDEO,tt5083738_TheFavourite/tt5083738_TheFavourite.mp4,PLANNED,canonical primary filename
tt5302918_Nyad,tt5302918_Nyad/奈德.Nyad.2023.BD1080P.英语中字.mp4,RENAME,PRIMARY_VIDEO,tt5302918_Nyad/tt5302918_Nyad.mp4,PLANNED,canonical primary filename
tt5363618_SoundofMetal,tt5363618_SoundofMetal/[金属之声].Sound.of.Metal.2019.TW.BluRay.1080p.x264.DTS-CMCT.mkv,RENAME,PRIMARY_VIDEO,tt5363618_SoundofMetal/tt5363618_SoundofMetal.mkv,PLANNED,canonical primary filename
tt5537002_KillersOfTheFlowerMoon,tt5537002_KillersOfTheFlowerMoon/KiIIers.of.the.FIower.Moon.2023.2160p.UHD.BluRay.REMUX.DV.HDR.HEVC.DTS-HD.MA.5.1.mkv,RENAME,PRIMARY_VIDEO,tt5537002_KillersOfTheFlowerMoon/tt5537002_KillersOfTheFlowerMoon.mkv,PLANNED,canonical primary filename
tt6155172_Roma,tt6155172_Roma/罗马.内嵌中字.2018.1080P.mp4,RENAME,PRIMARY_VIDEO,tt6155172_Roma/tt6155172_Roma.mp4,PLANNED,canonical primary filename
tt6266538_Vice,tt6266538_Vice/副总统.Vice.2018.HD1080P.X264.AAC.English.CHS-ENG.Mp4Ba.mp4,RENAME,PRIMARY_VIDEO,tt6266538_Vice/tt6266538_Vice.mp4,PLANNED,canonical primary filename
tt6710474_EverythingEverywhereAllAtOnce,tt6710474_EverythingEverywhereAllAtOnce/S-瞬X全宇宙-远鉴字幕.mp4,RENAME,PRIMARY_VIDEO,tt6710474_EverythingEverywhereAllAtOnce/tt6710474_EverythingEverywhereAllAtOnce.mp4,PLANNED,canonical primary filename
tt6966692_GreenBook,tt6966692_GreenBook/[绿皮书].Green.Book.2018.2160p.WEB-DL.60Fps.HQ.H265.10bit.DTS5.1.2Audios-UBWEB.mkv,RENAME,PRIMARY_VIDEO,tt6966692_GreenBook/tt6966692_GreenBook.mkv,PLANNED,canonical primary filename
tt7125860_IfBealeStreetCouldTalk,tt7125860_IfBealeStreetCouldTalk/If.Beale.Street.Could.Talk.2018.假如比尔街可以作证.中英字幕.mp4,RENAME,PRIMARY_VIDEO,tt7125860_IfBealeStreetCouldTalk/tt7125860_IfBealeStreetCouldTalk.mp4,PLANNED,canonical primary filename
tt7286456_Joker,tt7286456_Joker/Joker (2019) - 2160p BluRay REMUX DoVi HDR10 H265 TrueHD 7.1 Atmos.mkv,RENAME,PRIMARY_VIDEO,tt7286456_Joker/tt7286456_Joker.mkv,PLANNED,canonical primary filename
tt7286456_Joker,tt7286456_Joker/backdrop.jpg,QUARANTINE,IMAGE_ASSET,tt7286456_Joker/backdrop.jpg,PLANNED,safe cleanup category
tt7286456_Joker,tt7286456_Joker/banner.jpg,QUARANTINE,IMAGE_ASSET,tt7286456_Joker/banner.jpg,PLANNED,safe cleanup category
tt7286456_Joker,tt7286456_Joker/clearart.png,QUARANTINE,IMAGE_ASSET,tt7286456_Joker/clearart.png,PLANNED,safe cleanup category
tt7286456_Joker,tt7286456_Joker/disc.png,QUARANTINE,IMAGE_ASSET,tt7286456_Joker/disc.png,PLANNED,safe cleanup category
tt7286456_Joker,tt7286456_Joker/fanart.jpg,QUARANTINE,IMAGE_ASSET,tt7286456_Joker/fanart.jpg,PLANNED,safe cleanup category
tt7286456_Joker,tt7286456_Joker/Joker (2019) - 2160p BluRay REMUX DoVi HDR10 H265 TrueHD 7.1 Atmos.nfo,QUARANTINE,RELEASE_METADATA,tt7286456_Joker/Joker (2019) - 2160p BluRay REMUX DoVi HDR10 H265 TrueHD 7.1 Atmos.nfo,PLANNED,safe cleanup category
tt7286456_Joker,tt7286456_Joker/landscape.jpg,QUARANTINE,IMAGE_ASSET,tt7286456_Joker/landscape.jpg,PLANNED,safe cleanup category
